station_nm,user
판암,8068.040984
신흥,3779.04918
대동,10226.5
대전,21540.88798
중앙로,14560.11475
중구청,4916.740437
서대전네거리,14953.4071
오룡,8517.562842
용문,15201.71311
탄방,10610.42077
시청,15929.0929
정부청사,13301.80601
갈마,6192.956284
월평,7982.519126
갑천,2077.765027
유성온천,18013.5847
구암,5550.724044
현충원,4638.117486
월드컵경기장,4595.734973
노은,8520.147541
지족,5835.871585
반석,12914.36885
