"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 괴산군 괴산읍 동부리,686-5,괴산,59.85,1~10,"3,400",1,1985,읍내로4길
 충청북도 괴산군 괴산읍 동부리,811,신성건설 미소지움 괴산,84.96,1~10,"18,900",18,2014,남산1길
 충청북도 괴산군 괴산읍 서부리,277-5,태광,84.9,11~20,"14,800",1,1998,읍내로4길
 충청북도 단양군 단양읍 별곡리,106-1,신성단양미소지움,59.98,11~20,"15,500",12,2007,별곡3로
 충청북도 단양군 단양읍 별곡리,106-1,신성단양미소지움,85,21~30,"19,000",16,2007,별곡3로
 충청북도 단양군 단양읍 상진리,50,두진,35.67,21~30,"4,800",5,1996,상진2로
 충청북도 단양군 단양읍 상진리,978,주공,39.72,1~10,"3,000",4,1985,상진1로
 충청북도 단양군 단양읍 상진리,978,주공,39.72,21~30,"3,100",4,1985,상진1로
 충청북도 단양군 단양읍 상진리,978,주공,46.74,21~30,"5,100",1,1985,상진1로
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,21~30,"4,780",7,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,57.42,21~30,"5,500",6,2005,평동38길
 충청북도 보은군 보은읍 교사리,35-5,거성,59.67,11~20,"8,600",5,1997,남부로
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,1~10,"3,750",2,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,11~20,"3,700",4,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,11~20,"3,900",5,1997,향교1길
 충청북도 보은군 보은읍 교사리,62-1,뜰안,84.94,11~20,"14,900",8,2009,교사1길
 충청북도 보은군 보은읍 삼산리,166-3,대림,58.86,11~20,"5,700",4,1986,동광길
 충청북도 보은군 보은읍 이평리,159-7,강변리츠빌,62.47,1~10,"11,500",1,2006,월송로
 충청북도 보은군 보은읍 이평리,159-7,강변리츠빌,84.98,1~10,"18,000",15,2006,월송로
 충청북도 보은군 보은읍 이평리,158-3,대신리치빌2차,83.99,11~20,"17,500",11,2015,월송로
 충청북도 보은군 보은읍 이평리,127-2,명동하이츠빌,84.63,1~10,"11,400",4,2005,뱃들4길
 충청북도 보은군 보은읍 장신리,21-21,은혜,71.86,11~20,"4,700",3,1991,장신로
 충청북도 영동군 영동읍 계산리,479,영산맨션,76.41,1~10,"8,100",2,1992,영산로6길
 충청북도 영동군 영동읍 계산리,664-2,진영허브시티,84.75,11~20,"21,000",6,2015,계산로
 충청북도 영동군 영동읍 동정리,89,렉시움,84.52,1~10,"21,300",2,2015,동정로
