"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 단양군 단양읍 상진리,955,공간가든,54,11~20,"3,500",1,1992,상진17길
 충청북도 단양군 단양읍 상진리,50,두진,35.67,21~31,"5,000",3,1996,상진2로
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,11~20,"4,800",4,2005,평동38길
 충청북도 단양군 매포읍 평동리,90,하나아파트,59.88,21~31,"3,800",2,1992,평동9길
 충청북도 보은군 보은읍 교사리,35-5,거성,84.95,1~10,"10,300",10,1997,남부로
 충청북도 보은군 보은읍 교사리,406,그린,56.49,11~20,"4,000",4,1990,향교길
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,11~20,"3,500",7,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,11~20,"4,000",5,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,21~31,"3,700",1,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,59.04,1~10,"6,200",2,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,59.04,21~31,"6,700",6,1997,향교1길
 충청북도 보은군 보은읍 교사리,174-6,동진,61.2,1~10,"5,200",6,1990,보은로
 충청북도 보은군 보은읍 이평리,138,예지웰프라임,84.87,1~10,"17,500",4,2015,뱃들로
 충청북도 영동군 영동읍 계산리,256-3,대성맨션,71.77,21~31,"8,100",2,1989,구교로
 충청북도 영동군 영동읍 계산리,664-2,진영허브시티,84.75,11~20,"20,600",7,2015,계산로
 충청북도 영동군 영동읍 계산리,664-2,진영허브시티,84.75,11~20,"20,600",8,2015,계산로
