"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 괴산군 괴산읍 동부리,811,신성건설 미소지움 괴산,84.94,21~31,"15,000",8,2014,남산1길
 충청북도 괴산군 괴산읍 동부리,811,신성건설 미소지움 괴산,84.96,11~20,"15,500",2,2014,남산1길
 충청북도 괴산군 괴산읍 서부리,277-5,태광,84.9,21~31,"13,500",7,1998,읍내로4길
 충청북도 괴산군 괴산읍 서부리,277-5,태광,84.9,21~31,"13,800",8,1998,읍내로4길
 충청북도 단양군 단양읍 도전리,644-1,화성,47.28,11~20,"6,250",3,1989,도전9나길
 충청북도 단양군 단양읍 도전리,644-1,화성,47.28,21~31,"5,000",1,1989,도전9나길
 충청북도 단양군 단양읍 별곡리,570-1,부강,67.48,21~31,"11,950",10,1992,별곡7길
 충청북도 단양군 단양읍 별곡리,570-2,성원,84.87,1~10,"17,000",5,1993,별곡7길
 충청북도 단양군 단양읍 별곡리,570-2,성원,84.87,1~10,"13,500",13,1993,별곡7길
 충청북도 단양군 단양읍 별곡리,106-1,신성단양미소지움,85,21~31,"15,800",7,2007,별곡3로
 충청북도 단양군 단양읍 별곡리,106-1,신성단양미소지움,85,21~31,"17,000",4,2007,별곡3로
 충청북도 단양군 단양읍 상진리,955,공간가든,68.73,11~20,"7,600",8,1992,상진17길
 충청북도 단양군 단양읍 상진리,50,두진,35.67,11~20,"4,000",4,1996,상진2로
 충청북도 단양군 단양읍 상진리,50,두진,35.67,11~20,"4,200",14,1996,상진2로
 충청북도 단양군 단양읍 상진리,978,주공,47.1,11~20,"5,500",3,1985,상진1로
