"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 괴산군 괴산읍 동부리,811,신성건설 미소지움 괴산,84.94,11~20,"14,350",8,2014,남산1길
 충청북도 괴산군 괴산읍 서부리,125-1,월드,56.18,1~10,"4,700",3,1992,임꺽정로
 충청북도 괴산군 괴산읍 서부리,125-1,월드,56.18,1~10,"5,000",4,1992,임꺽정로
 충청북도 괴산군 괴산읍 서부리,277-5,태광,60,1~10,"9,200",10,1998,읍내로4길
 충청북도 단양군 단양읍 도전리,644-1,화성,47.28,11~20,"5,700",3,1989,도전9나길
 충청북도 단양군 단양읍 별곡리,570-2,성원,84.87,11~20,"14,200",5,1993,별곡7길
 충청북도 단양군 단양읍 상진리,955,공간가든,54,21~31,"6,300",3,1992,상진17길
 충청북도 단양군 단양읍 상진리,955,공간가든,68.73,1~10,"7,300",5,1992,상진17길
 충청북도 단양군 매포읍 평동리,1000,공간가든2,37.44,11~20,"2,500",3,1992,평동4로
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,21~31,"4,300",8,2005,평동38길
 충청북도 보은군 마로면 관기리,280-4,조일,50.19,1~10,"2,000",3,1986,관기송현로
 충청북도 보은군 마로면 관기리,280-4,조일,50.19,21~31,"1,100",5,1986,관기송현로
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,21~31,"4,000",4,1997,향교1길
 충청북도 보은군 보은읍 삼산리,171-4,진화,84.81,11~20,"5,500",6,1992,교사삼산2길
 충청북도 보은군 보은읍 이평리,159-7,강변리츠빌,84.98,1~10,"18,000",5,2006,월송로
 충청북도 보은군 보은읍 이평리,135,남양리츠빌,29.26,1~10,"4,200",6,2001,뱃들로
 충청북도 보은군 보은읍 이평리,135,남양리츠빌,84.88,1~10,"11,800",3,2001,뱃들로
 충청북도 보은군 보은읍 이평리,132-1,로얄팔레스,84.22,11~20,"9,500",1,2004,뱃들로
 충청북도 보은군 보은읍 이평리,61-1,이안리츠빌,84.87,11~20,"16,000",10,2011,뱃들3길
