"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 괴산군 괴산읍 동부리,811,신성건설 미소지움 괴산,59.98,21~30,"14,500",18,2014,남산1길
 충청북도 괴산군 괴산읍 서부리,125-1,월드,51.38,21~30,"3,700",2,1992,임꺽정로
 충청북도 괴산군 괴산읍 서부리,125-1,월드,56.18,11~20,"2,950",6,1992,임꺽정로
 충청북도 괴산군 괴산읍 서부리,125-1,월드,56.18,21~30,"5,000",5,1992,임꺽정로
 충청북도 괴산군 괴산읍 서부리,125-1,월드,56.18,21~30,"3,750",5,1992,임꺽정로
 충청북도 단양군 단양읍 도전리,644-1,화성,47.28,11~20,"6,000",3,1989,도전9나길
 충청북도 단양군 단양읍 별곡리,570-2,성원,84.87,11~20,"13,700",4,1993,별곡7길
 충청북도 단양군 단양읍 상진리,978,주공,46.74,11~20,"5,150",4,1985,상진1로
 충청북도 단양군 단양읍 상진리,978,주공,47.1,21~30,"4,650",1,1985,상진1로
 충청북도 단양군 매포읍 평동리,1000,공간가든2,37.44,1~10,"2,900",1,1992,평동4로
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,11~20,"5,100",13,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,21~30,"5,000",16,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,21~30,"4,750",12,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,57.42,1~10,"5,000",11,2005,평동38길
 충청북도 단양군 매포읍 평동리,1000,평동한라,59.91,11~20,"5,300",17,1994,평동4로
 충청북도 단양군 매포읍 평동리,1000,평동한라,59.91,11~20,"4,500",4,1994,평동4로
 충청북도 보은군 보은읍 교사리,35-5,거성,59.67,11~20,"8,900",8,1997,남부로
 충청북도 보은군 보은읍 교사리,406,그린,56.48,1~10,"3,400",3,1990,향교길
 충청북도 보은군 보은읍 교사리,406,그린,71.16,11~20,"6,200",2,1990,향교길
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,21~30,"3,700",3,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-3,에스엠101동,50.7,11~20,"5,250",6,2000,향교1길
 충청북도 보은군 보은읍 교사리,402-3,에스엠101동,50.7,21~30,"5,400",7,2000,향교1길
 충청북도 보은군 보은읍 교사리,34-7,장미,59.67,1~10,"6,800",3,1995,동광길
 충청북도 보은군 보은읍 삼산리,171-4,진화,56.18,21~30,"4,900",2,1992,교사삼산2길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.55,1~10,"13,900",10,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.55,1~10,"13,900",7,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.55,1~10,"13,900",8,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.55,1~10,"13,900",5,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.55,1~10,"13,900",5,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.55,1~10,"13,900",6,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.55,1~10,"13,900",11,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.6,1~10,"13,900",6,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.6,1~10,"13,900",10,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.6,1~10,"13,900",3,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.6,1~10,"13,900",8,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.6,1~10,"13,900",9,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.6,1~10,"13,900",5,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.6,1~10,"13,900",13,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,59.6,1~10,"13,900",14,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",11,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",4,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",12,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",12,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",7,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",3,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",9,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",10,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",5,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",13,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",15,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,1~10,"18,500",2,2016,군청길
 충청북도 보은군 보은읍 이평리,148,프리미엄/뷰,84.87,11~20,"18,500",2,2016,군청길
 충청북도 영동군 심천면 초강리,520,대자전원,59.98,21~30,"4,050",2,1996,초강로1길
