"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청남도 계룡시 금암동,69-1,계룡금암주공,84.99,21~31,"13,000",8,2002,서금암로
 충청남도 계룡시 금암동,190,신성미소지움1차,84.96,1~10,"17,500",8,2005,장안1길
 충청남도 계룡시 금암동,190,신성미소지움1차,84.96,11~20,"16,300",15,2005,장안1길
 충청남도 계룡시 금암동,190,신성미소지움1차,84.96,11~20,"16,500",10,2005,장안1길
 충청남도 계룡시 금암동,190,신성미소지움1차,84.96,21~31,"16,050",14,2005,장안1길
 충청남도 계룡시 금암동,190,신성미소지움1차,118.12,11~20,"19,800",4,2005,장안1길
 충청남도 계룡시 금암동,74,신성미소지움2차,130.2,1~10,"20,000",2,2005,서금암5길
 충청남도 계룡시 금암동,74,신성미소지움2차,150.91,11~20,"20,800",4,2005,서금암5길
 충청남도 계룡시 금암동,167-1,우림루미아트,84.98,11~20,"15,000",8,2005,장안로
 충청남도 계룡시 금암동,167-1,우림루미아트,84.98,21~31,"17,050",9,2005,장안로
 충청남도 계룡시 금암동,167-1,우림루미아트,123.64,21~31,"20,500",6,2005,장안로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,84.74,11~20,"19,300",8,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,84.74,11~20,"17,900",5,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,134.73,1~10,"25,500",10,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,134.73,1~10,"27,000",11,2007,사계로
 충청남도 계룡시 두마면 두계리,116,계룡E-편한세상,134.73,11~20,"23,000",1,2007,사계로
 충청남도 계룡시 두마면 두계리,67,포스코더샵,101.96,1~10,"23,440",8,2008,사계로
 충청남도 계룡시 엄사면 엄사리,280,경남무궁화,59.52,1~10,"7,000",7,1996,번영로
 충청남도 계룡시 엄사면 엄사리,280,경남무궁화,59.52,11~20,"7,300",13,1996,번영로
 충청남도 계룡시 엄사면 엄사리,280,경남무궁화,84.56,1~10,"11,300",1,1996,번영로
 충청남도 계룡시 엄사면 엄사리,281,동아,59.67,21~31,"7,400",2,1994,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,367,두산신성,59.76,1~10,"7,600",9,1994,엄사중앙로
 충청남도 계룡시 엄사면 엄사리,367,두산신성,84.86,1~10,"11,850",8,1994,엄사중앙로
