"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 괴산군 괴산읍 동부리,811,신성건설 미소지움 괴산,59.98,11~20,"14,500",15,2014,남산1길
 충청북도 괴산군 괴산읍 서부리,510,반석,84.07,11~20,"5,000",2,1991,금산길
 충청북도 괴산군 괴산읍 서부리,125-1,월드,59.7,1~10,"3,000",6,1992,임꺽정로
 충청북도 괴산군 괴산읍 서부리,277-5,태광,60,21~31,"8,700",1,1998,읍내로4길
 충청북도 단양군 단양읍 별곡리,106-1,신성단양미소지움,59.98,21~31,"15,500",5,2007,별곡3로
 충청북도 단양군 단양읍 별곡리,106-1,신성단양미소지움,85,1~10,"17,000",1,2007,별곡3로
 충청북도 단양군 단양읍 별곡리,106-1,신성단양미소지움,85,11~20,"11,000",13,2007,별곡3로
 충청북도 단양군 단양읍 상진리,50,두진,35.67,21~31,"5,400",1,1996,상진2로
 충청북도 단양군 단양읍 상진리,978,주공,39.72,1~10,"4,900",4,1985,상진1로
 충청북도 단양군 단양읍 상진리,978,주공,47.1,21~31,"5,550",1,1985,상진1로
 충청북도 단양군 매포읍 평동리,1000,공간가든2,37.44,1~10,"2,000",4,1992,평동4로
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,21~31,"5,300",3,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,57.42,1~10,"5,500",8,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,57.42,11~20,"5,200",14,2005,평동38길
 충청북도 단양군 매포읍 평동리,1000,평동한라,59.91,1~10,"3,500",11,1994,평동4로
 충청북도 단양군 매포읍 평동리,1000,평동한라,84.97,11~20,"8,500",15,1994,평동4로
 충청북도 보은군 마로면 관기리,280-4,조일,50.19,1~10,"1,800",2,1986,관기송현로
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,1~10,"3,800",5,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,21~31,"4,000",8,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,21~31,"3,700",3,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,21~31,"3,700",3,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,59.04,1~10,"6,000",10,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-3,에스엠101동,59.91,1~10,"6,000",2,2000,향교1길
 충청북도 보은군 보은읍 교사리,402-3,에스엠101동,59.91,11~20,"8,200",7,2000,향교1길
 충청북도 보은군 보은읍 이평리,130-1,대동,59.82,11~20,"7,400",13,1994,뱃들로
 충청북도 영동군 영동읍 계산리,664-2,진영허브시티,84.99,1~10,"19,350",13,2015,계산로
 충청북도 영동군 영동읍 계산리,664-2,진영허브시티,85,11~20,"21,000",5,2015,계산로
 충청북도 영동군 영동읍 동정리,89,렉시움,84.52,21~31,"21,800",10,2015,동정로
 충청북도 영동군 영동읍 동정리,65-3,미드림,55.99,21~31,"11,000",1,2008,동정로
 충청북도 영동군 영동읍 매천리,81-1,조한드림플러스,59.86,11~20,"12,000",5,2001,새심길
 충청북도 영동군 영동읍 매천리,81-1,조한드림플러스,84.98,11~20,"14,400",15,2001,새심길
 충청북도 영동군 영동읍 부용리,56,신양,60.41,11~20,"6,200",4,1991,부용1길
 충청북도 영동군 영동읍 부용리,417,지평더웰,84.97,1~10,"19,500",14,2007,상부용로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"3,321",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,21~31,"5,000",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,1~10,"5,900",5,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,1~10,"5,900",5,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",3,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",5,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",5,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",6,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",6,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",6,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",6,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",6,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,11~20,"3,950",6,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,900",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,900",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,900",5,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,900",3,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,700",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,700",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,700",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,700",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,900",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,700",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,21~31,"5,700",1,1994,눈어치1로
