"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 괴산군 괴산읍 서부리,125-1,월드,59.7,21~30,"5,100",1,1992,임꺽정로
 충청북도 단양군 단양읍 별곡리,106-1,신성단양미소지움,85,1~10,"18,700",10,2007,별곡3로
 충청북도 단양군 단양읍 상진리,50,두진,35.67,21~30,"5,800",9,1996,상진2로
 충청북도 단양군 단양읍 상진리,978,주공,46.74,1~10,"6,000",4,1985,상진1로
 충청북도 단양군 매포읍 평동리,1000,공간가든2,37.44,11~20,"1,500",1,1992,평동4로
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,42.36,11~20,"3,900",6,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,21~30,"4,300",16,2005,평동38길
 충청북도 단양군 매포읍 평동리,1000,평동한라,84.97,11~20,"7,900",10,1994,평동4로
 충청북도 보은군 보은읍 교사리,35-5,거성,59.67,21~30,"7,500",8,1997,남부로
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,1~10,"3,600",4,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,38.64,21~30,"3,700",2,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-29,극동,59.04,11~20,"5,800",1,1997,향교1길
 충청북도 보은군 보은읍 교사리,402-3,에스엠101동,59.91,21~30,"9,100",6,2000,향교1길
 충청북도 보은군 보은읍 이평리,135,남양리츠빌,29.26,11~20,"3,800",1,2001,뱃들로
 충청북도 보은군 보은읍 이평리,157-3,예지리츠빌,59.6,1~10,"13,500",4,2013,뱃들로
 충청북도 영동군 영동읍 계산리,61-3,미주맨션,55.26,21~30,"4,000",4,1992,계산로
 충청북도 영동군 영동읍 계산리,445-3,영산타워맨션,59.91,21~30,"7,000",8,1993,영산로
 충청북도 영동군 영동읍 계산리,445-3,영산타워맨션,84.72,21~30,"8,900",6,1993,영산로
 충청북도 영동군 영동읍 계산리,664-2,진영허브시티,84.99,11~20,"19,050",3,2015,계산로
 충청북도 영동군 영동읍 동정리,89,렉시움,84.65,11~20,"21,300",2,2015,동정로
 충청북도 영동군 영동읍 동정리,89,렉시움,84.65,21~30,"21,800",10,2015,동정로
 충청북도 영동군 영동읍 동정리,89,렉시움,84.65,21~30,"21,300",2,2015,동정로
 충청북도 영동군 영동읍 동정리,65-3,미드림,55.99,1~10,"11,090",10,2008,동정로
 충청북도 영동군 영동읍 동정리,65-3,미드림,55.99,21~30,"11,000",9,2008,동정로
 충청북도 영동군 영동읍 동정리,68-1,영동현대,59.76,1~10,"9,100",12,1996,동정로
 충청북도 영동군 영동읍 매천리,394-6,금강타운,84.33,21~30,"11,000",7,1992,영동황간로
 충청북도 영동군 영동읍 매천리,81-1,조한드림플러스,59.75,21~30,"11,000",12,2001,새심길
 충청북도 영동군 영동읍 매천리,81-1,조한드림플러스,84.98,21~30,"14,500",3,2001,새심길
 충청북도 영동군 영동읍 부용리,593-1,삼부,56.01,21~30,"4,400",3,1991,학산영동로
 충청북도 영동군 영동읍 부용리,593-1,삼부,56.01,21~30,"4,750",4,1991,학산영동로
 충청북도 영동군 영동읍 부용리,56,신양,60.41,1~10,"6,600",2,1991,부용1길
 충청북도 영동군 영동읍 부용리,56,신양,82.94,11~20,"8,200",5,1991,부용1길
 충청북도 영동군 영동읍 부용리,417,지평더웰,84.97,1~10,"18,000",4,2007,상부용로
 충청북도 영동군 영동읍 부용리,416-1,지평더웰ll,59.88,1~10,"13,500",5,2009,상부용로
 충청북도 영동군 영동읍 부용리,416-1,지평더웰ll,59.88,21~30,"13,600",12,2009,상부용로
 충청북도 영동군 영동읍 부용리,416-1,지평더웰ll,59.88,21~30,"13,500",4,2009,상부용로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"4,800",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",6,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",5,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",3,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",3,1994,눈어치1로
