"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 영동군 영동읍 설계리,693,금강,59.88,21~31,"7,100",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,59.88,21~31,"7,100",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,886,주공아파트(886-0),39.64,11~20,"5,500",3,2002,눈어치로
 충청북도 영동군 영동읍 설계리,886,주공아파트(886-0),39.94,11~20,"5,400",10,2002,눈어치로
 충청북도 영동군 영동읍 설계리,886,주공아파트(886-0),39.94,11~20,"6,500",8,2002,눈어치로
 충청북도 영동군 영동읍 설계리,886,주공아파트(886-0),49.81,1~10,"8,000",8,2002,눈어치로
 충청북도 영동군 영동읍 설계리,886,주공아파트(886-0),49.81,11~20,"7,300",11,2002,눈어치로
 충청북도 영동군 영동읍 설계리,886,주공아파트(886-0),49.81,11~20,"5,500",1,2002,눈어치로
 충청북도 영동군 영동읍 설계리,886,주공아파트(886-0),49.89,11~20,"7,450",2,2002,눈어치로
 충청북도 영동군 용산면 구촌리,172-1,진산,59.61,1~10,"4,900",2,1995,용산로6길
 충청북도 옥천군 옥천읍 금구리,235-26,다산금빛아파트,59.85,21~31,"8,300",6,2002,가화3길
 충청북도 옥천군 옥천읍 금구리,235-26,다산금빛아파트,59.85,21~31,"8,600",8,2002,가화3길
 충청북도 옥천군 옥천읍 금구리,235-1,옥천가화현대아파트,59.88,1~10,"7,900",15,1995,가화3길
 충청북도 옥천군 옥천읍 대천리,373-1,청솔아파트,39.95,11~20,"2,850",1,1993,성암응천길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.64,11~20,"22,000",3,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,1~10,"22,000",6,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,1~10,"22,000",6,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,1~10,"21,500",2,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,1~10,"22,000",5,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,1~10,"22,000",9,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,1~10,"22,000",5,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,1~10,"22,000",8,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,1~10,"22,000",8,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,1~10,"22,000",3,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,1~10,"22,000",4,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,11~20,"22,000",4,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,23-19,예담마을 A동,84.85,11~20,"22,000",7,2016,성암3길
 충청북도 옥천군 옥천읍 마암리,16,현대아파트,74.88,21~31,"9,400",5,1992,성암1길
 충청북도 옥천군 옥천읍 마암리,16,현대아파트,84.78,11~20,"12,600",2,1992,성암1길
 충청북도 옥천군 옥천읍 문정리,467-5,대성진달래아파트,59.95,11~20,"12,000",13,1997,관성로1길
 충청북도 옥천군 옥천읍 문정리,467-5,대성진달래아파트,84.5,1~10,"17,800",6,1997,관성로1길
 충청북도 옥천군 옥천읍 문정리,374,옥천문정주공(2)단지,49.62,1~10,"8,900",10,1998,문장로2길
 충청북도 옥천군 옥천읍 문정리,374,옥천문정주공(2)단지,49.62,1~10,"8,000",3,1998,문장로2길
 충청북도 옥천군 옥천읍 문정리,374,옥천문정주공(2)단지,49.62,1~10,"8,100",15,1998,문장로2길
 충청북도 옥천군 옥천읍 문정리,374,옥천문정주공(2)단지,49.62,21~31,"8,200",4,1998,문장로2길
 충청북도 옥천군 옥천읍 문정리,376,옥천문정주공(3)단지아파트,39.51,1~10,"6,950",7,1999,문장로2길
