"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 괴산군 불정면 목도리,462-3,목도,32.67,21~30,"2,000",4,1994,하산로
 충청북도 단양군 단양읍 별곡리,106-1,신성단양미소지움,85,1~10,"21,000",17,2007,별곡3로
 충청북도 단양군 단양읍 상진리,50,두진,35.67,1~10,"5,700",8,1996,상진2로
 충청북도 단양군 단양읍 상진리,50,두진,35.67,11~20,"5,100",9,1996,상진2로
 충청북도 단양군 단양읍 상진리,50,두진,35.67,21~30,"4,800",11,1996,상진2로
 충청북도 단양군 단양읍 상진리,50,두진,49.69,11~20,"6,800",9,1996,상진2로
 충청북도 단양군 단양읍 상진리,978,주공,46.74,1~10,"4,500",5,1985,상진1로
 충청북도 단양군 매포읍 평동리,1000,공간가든2,37.44,11~20,"1,860",5,1992,평동4로
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,34.44,1~10,"3,100",9,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,11~20,"5,000",14,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,11~20,"5,000",12,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,21~30,"5,000",15,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,57.42,21~30,"5,600",11,2005,평동38길
 충청북도 단양군 매포읍 평동리,1000,평동한라,59.91,11~20,"4,000",10,1994,평동4로
 충청북도 단양군 매포읍 평동리,1000,평동한라,59.91,11~20,"4,700",19,1994,평동4로
 충청북도 단양군 매포읍 평동리,1000,평동한라,59.91,11~20,"5,800",3,1994,평동4로
