"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 괴산군 괴산읍 동부리,811,신성건설 미소지움 괴산,59.98,11~20,"14,000",6,2014,남산1길
 충청북도 괴산군 괴산읍 서부리,277-5,태광,60,11~20,"7,000",8,1998,읍내로4길
 충청북도 괴산군 괴산읍 서부리,277-5,태광,60,21~29,"9,500",14,1998,읍내로4길
 충청북도 괴산군 불정면 목도리,462-3,목도,59.72,21~29,"2,900",5,1994,하산로
 충청북도 단양군 단양읍 도전리,644-1,화성,47.28,11~20,"4,800",3,1989,도전9나길
 충청북도 단양군 단양읍 별곡리,570-2,성원,43.2,21~29,"6,000",5,1993,별곡7길
 충청북도 단양군 단양읍 별곡리,106-1,신성단양미소지움,59.98,21~29,"12,800",1,2007,별곡3로
 충청북도 단양군 단양읍 상진리,50,두진,49.69,21~29,"6,500",14,1996,상진2로
 충청북도 단양군 단양읍 상진리,978,주공,39.72,1~10,"3,800",1,1985,상진1로
 충청북도 단양군 단양읍 상진리,978,주공,39.72,21~29,"4,000",4,1985,상진1로
 충청북도 단양군 단양읍 상진리,978,주공,47.1,1~10,"4,300",3,1985,상진1로
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,1~10,"4,800",17,2005,평동38길
 충청북도 단양군 매포읍 평동리,1000,평동한라,59.91,11~20,"4,700",12,1994,평동4로
 충청북도 단양군 매포읍 평동리,1000,평동한라,84.97,1~10,"8,600",15,1994,평동4로
 충청북도 보은군 마로면 관기리,280-4,조일,50.19,21~29,"1,800",3,1986,관기송현로
 충청북도 보은군 보은읍 교사리,59-4,대청,71.77,21~29,"4,400",1,1986,교사1길
 충청북도 보은군 보은읍 교사리,402-3,에스엠101동,50.7,11~20,"5,450",10,2000,향교1길
 충청북도 보은군 보은읍 교사리,402-3,에스엠101동,50.7,21~29,"6,000",2,2000,향교1길
 충청북도 보은군 보은읍 이평리,159-7,강변리츠빌,84.98,21~29,"18,000",13,2006,월송로
 충청북도 보은군 보은읍 이평리,159-7,강변리츠빌,84.98,21~29,"18,200",14,2006,월송로
 충청북도 보은군 보은읍 이평리,130-1,대동,59.82,1~10,"7,600",11,1994,뱃들로
 충청북도 보은군 보은읍 이평리,132-1,로얄팔레스,84.22,11~20,"9,350",4,2004,뱃들로
