"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 괴산군 괴산읍 대사리,177-1,두진백로,39.8,11~20,"4,800",10,1998,읍내로
 충청북도 괴산군 불정면 목도리,462-3,목도,59.36,11~20,"3,500",2,1994,하산로
 충청북도 단양군 단양읍 별곡리,570-2,성원,43.2,1~10,"6,000",4,1993,별곡7길
 충청북도 단양군 단양읍 별곡리,570-2,성원,84.87,1~10,"14,300",6,1993,별곡7길
 충청북도 단양군 단양읍 상진리,955,공간가든,54,11~20,"6,350",4,1992,상진17길
 충청북도 단양군 단양읍 상진리,955,공간가든,54,21~31,"6,000",7,1992,상진17길
 충청북도 단양군 단양읍 상진리,50,두진,35.67,1~10,"4,800",13,1996,상진2로
 충청북도 단양군 단양읍 상진리,50,두진,35.67,11~20,"6,000",15,1996,상진2로
 충청북도 단양군 단양읍 상진리,50,두진,59.34,1~10,"9,000",4,1996,상진2로
 충청북도 단양군 단양읍 상진리,978,주공,39.72,11~20,"2,500",4,1985,상진1로
 충청북도 단양군 매포읍 평동리,1000,공간가든2,37.44,21~31,"2,500",4,1992,평동4로
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,1~10,"4,300",2,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,1~10,"4,700",10,2005,평동38길
 충청북도 단양군 매포읍 평동리,1335,단양태양드림빌,50.4,21~31,"4,900",8,2005,평동38길
 충청북도 보은군 보은읍 교사리,406,그린,56.49,21~31,"3,600",4,1990,향교길
 충청북도 영동군 영동읍 계산리,61-3,미주맨션,56.46,11~20,"6,200",1,1992,계산로
 충청북도 영동군 영동읍 동정리,89,렉시움,84.65,1~10,"20,700",3,2015,동정로
 충청북도 영동군 영동읍 동정리,89,렉시움,84.65,21~31,"21,200",9,2015,동정로
 충청북도 영동군 영동읍 동정리,68-1,영동현대,59.76,11~20,"8,800",4,1996,동정로
 충청북도 영동군 영동읍 부용리,593-1,삼부,82.16,11~20,"5,000",2,1991,학산영동로
 충청북도 영동군 영동읍 부용리,56,신양,60.41,11~20,"6,000",1,1991,부용1길
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"4,800",1,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,41.16,11~20,"5,000",2,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,1~10,"5,700",5,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,1~10,"5,500",6,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,1~10,"5,700",3,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,1~10,"5,700",3,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,1~10,"5,700",4,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,1~10,"5,700",3,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,1~10,"5,700",3,1994,눈어치1로
 충청북도 영동군 영동읍 설계리,693,금강,48.54,1~10,"5,700",4,1994,눈어치1로
